Date,Department,Category,Region,Budget Amount,Actual Amount,Payment Method,Transaction ID,Variance,Variance %
2021-11-12,Marketing,Marketing,North,17927,121002,UPI,TXN100036,103075,574.9707145646232
2021-01-14,Marketing,Infrastructure,West,92256,104791,UPI,TXN100037,12535,13.587192160943463
2021-08-30,Marketing,Training,North,94903,29787,UPI,TXN100038,-65116,-68.6132155990854
2023-02-16,Operations,Marketing,Central,131686,136324,Bank Transfer,TXN100039,4638,3.52201448901174
2022-07-19,Operations,Utilities,Central,64150,56793,Cash,TXN100040,-7357,-11.468433359314108
2023-06-17,HR,Marketing,North,117167,15153,Bank Transfer,TXN100041,-102014,-87.06717761827136
2021-04-02,Sales,Travel,North,23056,63766,Card,TXN100042,40710,176.57009021512837
2023-08-14,Operations,Travel,Central,20798,13931,Card,TXN100043,-6867,-33.017597845946725
2022-05-24,Marketing,Infrastructure,West,116491,35040,Card,TXN100044,-81451,-69.9204230369728
2023-02-15,Sales,Infrastructure,South,61747,122329,Card,TXN100045,60582,98.11326866082563
2021-02-04,Operations,Infrastructure,East,45738,156344,Card,TXN100046,110606,241.82517818881456
2021-07-25,Finance,Utilities,Central,27227,138197,Card,TXN100047,110970,407.57336467477137
2023-10-23,IT,Training,North,93800,73939,UPI,TXN100048,-19861,-21.173773987206822
2023-10-19,Operations,Utilities,East,136531,20801,UPI,TXN100049,-115730,-84.76463220806997
2022-07-20,Finance,Marketing,North,69461,114280,Card,TXN100050,44819,64.52397748376787
2022-12-04,HR,Salaries,South,67848,35064,Bank Transfer,TXN100051,-32784,-48.31977361160241
2022-02-06,Finance,Training,South,34685,11985,Cash,TXN100052,-22700,-65.44615828167795
2022-12-31,HR,Travel,Central,101517,89796,Card,TXN100053,-11721,-11.545849463636634
2021-06-11,Operations,Travel,East,129180,166687,Card,TXN100054,37507,29.034680291066728
2021-07-21,HR,Travel,East,13480,67466,Bank Transfer,TXN100055,53986,400.48961424332344
2023-09-23,Finance,Marketing,South,25860,132052,UPI,TXN100056,106192,410.6419180201082
2021-09-27,IT,Marketing,North,78578,14549,Bank Transfer,TXN100057,-64029,-81.48463946651735
2023-03-27,Sales,Infrastructure,Central,67230,78664,Cash,TXN100058,11434,17.007288412910903
2022-04-01,Sales,Salaries,West,67026,20801,Cash,TXN100059,-46225,-68.96577447557665
2023-10-14,IT,Infrastructure,South,16564,121901,Bank Transfer,TXN100060,105337,635.939386621589
2021-10-23,Marketing,Marketing,South,30012,59380,Card,TXN100061,29368,97.85419165667066
2022-12-21,Sales,Utilities,Central,64169,56442,UPI,TXN100062,-7727,-12.04164004425813
2021-12-04,Operations,Infrastructure,North,36341,18505,Card,TXN100063,-17836,-49.07955202113315
2023-05-29,Marketing,Training,East,56841,85906,Card,TXN100064,29065,51.13386463996059
2023-12-13,Operations,Marketing,South,102584,67228,Card,TXN100065,-35356,-34.46541370974031
2023-03-03,Finance,Marketing,Central,53335,88129,Card,TXN100066,34794,65.23671135277023
2021-08-05,Finance,Utilities,Central,65155,99695,UPI,TXN100067,34540,53.01204819277109
2023-02-03,Marketing,Utilities,Central,108314,71275,Bank Transfer,TXN100068,-37039,-34.19594881548092
2021-07-07,Marketing,Utilities,East,39527,37621,Cash,TXN100069,-1906,-4.822020391125053
2022-01-15,Marketing,Salaries,South,105466,27538,Cash,TXN100070,-77928,-73.88921548176664
2022-05-08,Marketing,Training,Central,60653,77024,UPI,TXN100071,16371,26.99124528053023
2023-12-01,HR,Marketing,East,111907,23332,Bank Transfer,TXN100072,-88575,-79.1505446486815
2021-01-15,Marketing,Utilities,North,43057,158234,UPI,TXN100073,115177,267.49889681120374
2021-03-06,Marketing,Salaries,West,113992,32594,Card,TXN100074,-81398,-71.4067653870447
2022-06-05,Finance,Travel,South,17393,19793,UPI,TXN100075,2400,13.79865463117346
2022-10-10,Operations,Training,East,85404,28850,Bank Transfer,TXN100076,-56554,-66.21938082525408
2023-12-23,Finance,Travel,West,101956,68438,Cash,TXN100077,-33518,-32.87496567146612
2022-08-16,Sales,Travel,West,94613,31936,UPI,TXN100078,-62677,-66.24565334573474
2022-01-27,HR,Marketing,East,69171,120442,Cash,TXN100079,51271,74.12210319353485
2022-02-23,HR,Salaries,East,39336,11827,Cash,TXN100080,-27509,-69.93339434614603
2021-10-16,Operations,Salaries,East,22014,66889,Cash,TXN100081,44875,203.84755155809938
2022-01-14,Marketing,Travel,Central,149446,133306,Bank Transfer,TXN100082,-16140,-10.799887584813243
2021-08-19,Finance,Training,North,101513,54790,Card,TXN100083,-46723,-46.02661728054535
2023-10-15,Sales,Infrastructure,Central,146656,74352,Card,TXN100084,-72304,-49.30176740126554
2021-02-10,Finance,Travel,West,94769,68215,Bank Transfer,TXN100085,-26554,-28.019711086958814
2023-11-18,Marketing,Marketing,West,136092,161382,Card,TXN100086,25290,18.58301737060224
2021-05-15,Marketing,Travel,West,38782,66207,Card,TXN100087,27425,70.71579598782941
2021-07-20,IT,Training,East,120463,69643,Card,TXN100088,-50820,-42.18722761345807
2023-02-19,Finance,Training,South,95847,85319,UPI,TXN100089,-10528,-10.984172691894372
2023-07-19,Operations,Travel,Central,98434,81095,Card,TXN100090,-17339,-17.61484852794766
2023-11-23,Finance,Salaries,South,70773,126060,UPI,TXN100091,55287,78.1187741087703
2023-12-08,HR,Travel,North,24110,50890,Cash,TXN100092,26780,111.07424305267524
2022-05-18,Sales,Utilities,North,98512,103736,UPI,TXN100093,5224,5.302907260029235
2022-02-11,Operations,Utilities,Central,15825,146080,Card,TXN100094,130255,823.0963665086888
2023-03-16,IT,Infrastructure,West,144560,67544,Bank Transfer,TXN100095,-77016,-53.27614831211953
2021-04-09,Sales,Marketing,North,77431,118930,Cash,TXN100096,41499,53.594813446810704
2022-11-15,Sales,Marketing,South,78444,162348,Cash,TXN100097,83904,106.96037937892
2022-12-27,HR,Salaries,South,76947,118079,UPI,TXN100098,41132,53.45497550261869
2023-08-19,HR,Marketing,East,146529,132412,Bank Transfer,TXN100099,-14117,-9.634270349214148
2022-09-05,HR,Infrastructure,West,48216,61044,Card,TXN100100,12828,26.605276256844203
2022-10-05,Operations,Utilities,East,103230,27184,UPI,TXN100101,-76046,-73.66656979560206
2023-10-26,Finance,Salaries,Central,18847,29633,UPI,TXN100102,10786,57.229267257388436
2022-05-18,Sales,Training,North,24658,33368,Cash,TXN100103,8710,35.32322167247952
2023-02-06,Finance,Utilities,East,136878,35045,UPI,TXN100104,-101833,-74.39690819561946
2022-02-02,Finance,Infrastructure,East,39676,77919,Bank Transfer,TXN100105,38243,96.3882447827402
2023-05-21,HR,Salaries,Central,10645,117390,UPI,TXN100106,106745,1002.7712541099108
2023-03-06,Finance,Travel,South,107476,99881,UPI,TXN100107,-7595,-7.0666939595816745
2022-01-28,Sales,Marketing,South,88236,69261,Bank Transfer,TXN100108,-18975,-21.504827961376307
2021-07-26,Sales,Infrastructure,Central,28618,63464,UPI,TXN100109,34846,121.76252708085819
2023-11-05,Marketing,Salaries,South,71859,109454,Card,TXN100110,37595,52.317733338899785
2023-06-11,IT,Utilities,Central,68827,135046,UPI,TXN100111,66219,96.21078937045054
2023-05-14,Operations,Salaries,South,107389,159814,Card,TXN100112,52425,48.81784912793675
2023-01-13,Finance,Travel,Central,135114,162322,Bank Transfer,TXN100113,27208,20.13706943766005
2022-07-18,Operations,Infrastructure,South,106726,141649,Card,TXN100114,34923,32.722110825853115
2023-10-18,Operations,Salaries,East,138077,143377,Bank Transfer,TXN100115,5300,3.838437973015057
2021-04-06,Operations,Training,East,143034,61202,Card,TXN100116,-81832,-57.211572073772665
2022-04-30,Marketing,Infrastructure,South,138373,100276,Card,TXN100117,-38097,-27.53210525174709
2021-08-19,Operations,Infrastructure,Central,136076,154023,Bank Transfer,TXN100118,17947,13.188953232017402
2023-01-19,Marketing,Utilities,East,72397,158604,Bank Transfer,TXN100119,86207,119.07537605149385
2022-06-25,Sales,Marketing,North,79951,86138,Card,TXN100120,6187,7.738489825017823
2023-11-26,Finance,Training,South,65770,96074,Bank Transfer,TXN100121,30304,46.07571841265015
2022-06-09,Marketing,Travel,North,41545,48828,Cash,TXN100122,7283,17.530388735106513
2022-08-01,IT,Salaries,North,18705,26330,UPI,TXN100123,7625,40.764501470195135
2022-11-13,Operations,Marketing,West,20704,152314,Card,TXN100124,131610,635.6742658423493
2022-07-11,IT,Utilities,North,38671,42340,Cash,TXN100125,3669,9.487729823381862
2023-10-10,Sales,Marketing,North,31203,102468,Cash,TXN100126,71265,228.39150081722912
2022-10-08,Sales,Infrastructure,West,91927,68989,Cash,TXN100127,-22938,-24.95240788886834
2023-03-07,HR,Infrastructure,West,130503,21823,Bank Transfer,TXN100128,-108680,-83.27777905488762
2023-11-18,Operations,Travel,West,102115,90119,UPI,TXN100129,-11996,-11.747539538755325
2021-07-09,HR,Training,Central,22451,125065,Card,TXN100130,102614,457.05759208943925
2022-09-25,IT,Salaries,West,121372,77604,UPI,TXN100131,-43768,-36.06103549418317
2022-09-20,Finance,Salaries,Central,130102,16281,Card,TXN100132,-113821,-87.48597254461885
2023-08-31,HR,Utilities,South,106613,79734,UPI,TXN100133,-26879,-25.21174716029002
2022-12-11,Sales,Travel,Central,85856,95951,UPI,TXN100134,10095,11.758060007454342
2022-10-11,Operations,Salaries,South,68642,49051,Cash,TXN100135,-19591,-28.540835057253577
2021-11-14,IT,Training,West,97656,100215,Bank Transfer,TXN100136,2559,2.6204227082821334
2022-11-15,Marketing,Infrastructure,West,44612,138226,Card,TXN100137,93614,209.84040168564513
2022-10-26,Sales,Travel,South,128299,65283,Card,TXN100138,-63016,-49.11651688633582
2022-03-18,Marketing,Marketing,East,139848,67309,Card,TXN100139,-72539,-51.869887306218175
2022-07-18,Finance,Travel,Central,97606,151420,Cash,TXN100140,53814,55.13390570251829
2023-08-10,Operations,Travel,North,108983,71335,Cash,TXN100141,-37648,-34.544837268197796
2022-11-30,Finance,Training,West,17190,51124,Cash,TXN100142,33934,197.40546829552065
2021-04-23,Finance,Training,Central,39617,90509,Cash,TXN100143,50892,128.46000454350406
2021-01-02,Operations,Salaries,Central,119319,135211,Cash,TXN100144,15892,13.318918194084764
2022-10-04,Operations,Utilities,West,106931,132960,UPI,TXN100145,26029,24.341865315016225
2021-08-08,Marketing,Utilities,South,10009,93558,Card,TXN100146,83549,834.7387351383755
2023-05-05,Finance,Training,West,124291,60466,UPI,TXN100147,-63825,-51.351264371515235
2022-01-20,IT,Salaries,Central,90739,32459,Cash,TXN100148,-58280,-64.22817090776843
2023-12-13,Marketing,Salaries,East,63368,53076,Bank Transfer,TXN100149,-10292,-16.241636157050877
2022-12-31,Operations,Salaries,South,85914,18080,Cash,TXN100150,-67834,-78.95569988593245
2021-09-04,Sales,Training,West,58847,28168,Cash,TXN100151,-30679,-52.13349873400514
2023-04-16,Marketing,Utilities,North,85755,91097,Cash,TXN100152,5342,6.229374380502595
2021-07-22,HR,Salaries,West,105491,39892,Card,TXN100153,-65599,-62.184451754178085
2021-05-03,IT,Training,Central,108347,142037,Card,TXN100154,33690,31.09453884279214
2022-02-05,Marketing,Marketing,Central,50094,40438,Bank Transfer,TXN100155,-9656,-19.27576156825169
2023-02-06,Operations,Marketing,North,137791,147565,Card,TXN100156,9774,7.093351525135894
2021-10-21,Operations,Infrastructure,South,136489,111467,Cash,TXN100157,-25022,-18.3326128845548
2021-10-07,IT,Marketing,Central,103893,166963,Bank Transfer,TXN100158,63070,60.70668861232229
2023-06-03,HR,Travel,South,50544,48955,Bank Transfer,TXN100159,-1589,-3.143795504906616
2021-07-17,Marketing,Infrastructure,South,102398,119010,Bank Transfer,TXN100160,16612,16.222973104943456
2023-09-09,Marketing,Marketing,West,57660,155517,Cash,TXN100161,97857,169.71383975026015
2023-01-22,Finance,Travel,South,83736,41625,Card,TXN100162,-42111,-50.290197764402414
2021-05-24,Sales,Marketing,Central,81168,91260,UPI,TXN100163,10092,12.433471318746305
2022-09-01,Operations,Training,Central,44630,33393,Card,TXN100164,-11237,-25.178131301814922
2021-07-06,Marketing,Travel,East,14711,166755,UPI,TXN100165,152044,1033.5395282441712
2022-04-09,Marketing,Salaries,South,12457,29399,Cash,TXN100166,16942,136.0038532551979
2022-10-22,Marketing,Training,East,86732,159108,Card,TXN100167,72376,83.44786238066688
2023-02-03,HR,Travel,West,88375,125991,Cash,TXN100168,37616,42.564073550212164
2023-08-13,Sales,Training,East,49467,57941,Cash,TXN100169,8474,17.130612327410194
2022-02-07,Marketing,Salaries,South,17157,34656,Bank Transfer,TXN100170,17499,101.99335548172756
2021-05-27,IT,Travel,Central,120357,165689,Card,TXN100171,45332,37.6646144387115
2023-05-14,Operations,Travel,West,12714,108606,Bank Transfer,TXN100172,95892,754.2236904200095
2022-05-04,Finance,Training,South,37217,107377,Card,TXN100173,70160,188.51600075234435
2023-07-18,IT,Marketing,West,50132,116527,Cash,TXN100174,66395,132.44035745631533
2022-07-05,Operations,Travel,North,106653,39766,Bank Transfer,TXN100175,-66887,-62.71459780784413
2021-12-04,HR,Marketing,South,90792,81097,Cash,TXN100176,-9695,-10.678253590624724
2023-05-22,Sales,Travel,North,66371,138929,UPI,TXN100177,72558,109.32184237091501
2022-10-03,Sales,Utilities,East,66788,118864,Cash,TXN100178,52076,77.97209079475354
2022-04-18,Operations,Infrastructure,South,19583,157338,UPI,TXN100179,137755,703.4417607108206
2021-05-31,IT,Marketing,North,52042,143417,UPI,TXN100180,91375,175.57933976403675
2021-09-20,Finance,Marketing,Central,100405,156716,Bank Transfer,TXN100181,56311,56.08386036551964
2021-05-24,HR,Salaries,East,87807,80583,Bank Transfer,TXN100182,-7224,-8.227134510915986
2021-12-12,Operations,Utilities,South,78371,133061,Card,TXN100183,54690,69.78346582281712
2022-09-16,HR,Salaries,South,149085,115590,Card,TXN100184,-33495,-22.46704899889325
2023-10-14,Sales,Utilities,Central,88775,52889,Bank Transfer,TXN100185,-35886,-40.4235426640383
2023-05-31,Marketing,Utilities,Central,46973,158992,Card,TXN100186,112019,238.4752943180125
2021-01-02,Marketing,Training,North,77690,123990,Cash,TXN100187,46300,59.5958295790964
2023-06-16,Finance,Training,North,79459,77850,Cash,TXN100188,-1609,-2.0249436816471387
2021-09-11,HR,Training,North,41558,116519,Cash,TXN100189,74961,180.37682275374175
2022-03-29,Operations,Travel,West,118350,11474,Cash,TXN100190,-106876,-90.305027460921
2023-11-27,Finance,Salaries,East,50030,95768,Cash,TXN100191,45738,91.42114731161303
2023-10-12,IT,Infrastructure,South,46636,32039,UPI,TXN100192,-14597,-31.29985418989622
2021-01-09,Marketing,Utilities,East,119528,22104,Cash,TXN100193,-97424,-81.50726189679406
2023-03-27,Operations,Utilities,Central,73566,136404,Card,TXN100194,62838,85.41717641301688
2021-07-27,HR,Marketing,East,61159,25786,Bank Transfer,TXN100195,-35373,-57.83776713157508
2022-02-08,Finance,Travel,East,66025,54716,Bank Transfer,TXN100196,-11309,-17.128360469519123
2021-06-01,Operations,Infrastructure,North,119463,138738,Card,TXN100197,19275,16.134702795007662
2021-02-23,Finance,Training,Central,22434,130914,Card,TXN100198,108480,483.55175180529557
2022-09-20,Finance,Utilities,East,56096,59269,Card,TXN100199,3173,5.656374786081004
2022-08-10,Finance,Marketing,South,57471,161265,Bank Transfer,TXN100200,103794,180.60239077099754
2021-04-14,HR,Salaries,North,66004,95950,Card,TXN100201,29946,45.369977577116536
2021-09-11,Operations,Utilities,East,20487,24791,Card,TXN100202,4304,21.008444379362523
2022-05-25,Sales,Marketing,Central,85925,127363,UPI,TXN100203,41438,48.22577829502473
2021-04-09,Sales,Salaries,South,106925,86429,UPI,TXN100204,-20496,-19.168576104746318
2021-06-02,HR,Travel,Central,123500,111807,UPI,TXN100205,-11693,-9.468016194331984
2023-07-03,HR,Training,Central,19610,14224,Bank Transfer,TXN100206,-5386,-27.465578786333506
2023-05-28,Marketing,Salaries,Central,63551,113909,Card,TXN100207,50358,79.24029519598432
2021-12-04,Finance,Utilities,West,23869,35685,Cash,TXN100208,11816,49.503540156688594
2023-04-02,Operations,Infrastructure,South,98466,102045,Bank Transfer,TXN100209,3579,3.6347571750655048
2023-08-15,Operations,Salaries,Central,32979,26476,UPI,TXN100210,-6503,-19.71860881166803
2021-06-10,IT,Infrastructure,West,21492,130214,UPI,TXN100211,108722,505.8719523543644
2023-03-12,IT,Infrastructure,North,125381,84598,Bank Transfer,TXN100212,-40783,-32.52725692090508
2022-02-02,Sales,Salaries,West,70920,115474,Bank Transfer,TXN100213,44554,62.82289904117315
2023-03-27,IT,Travel,North,122784,9484,Card,TXN100214,-113300,-92.27586656241856
2022-02-05,IT,Salaries,West,104257,100526,Bank Transfer,TXN100215,-3731,-3.5786565890060142
2022-10-02,Sales,Marketing,Central,33409,27760,Cash,TXN100216,-5649,-16.9086174384148
2023-11-23,Marketing,Training,West,126443,14326,Cash,TXN100217,-112117,-88.66999359395142
2022-11-19,Sales,Infrastructure,West,70428,132802,Bank Transfer,TXN100218,62374,88.5642074175044
2022-04-05,IT,Training,Central,36455,78723,Cash,TXN100219,42268,115.94568646276231
2023-08-13,Operations,Utilities,North,141919,133477,Card,TXN100220,-8442,-5.948463560199832
2022-04-15,IT,Infrastructure,Central,86699,120325,Bank Transfer,TXN100221,33626,38.784761069908534
2023-11-12,Finance,Utilities,South,63213,137778,Cash,TXN100222,74565,117.95833135589197
2023-01-20,Finance,Marketing,West,125883,22963,UPI,TXN100223,-102920,-81.75845825091554
2021-02-07,Finance,Marketing,South,41849,145310,Card,TXN100224,103461,247.2245453893761
2021-08-18,Marketing,Training,Central,81868,134197,Bank Transfer,TXN100225,52329,63.91874725167342
2022-07-17,HR,Marketing,Central,132842,68494,Bank Transfer,TXN100226,-64348,-48.43949955586336
2022-03-14,Finance,Salaries,East,146720,49328,Bank Transfer,TXN100227,-97392,-66.3794983642312
2021-01-27,Operations,Infrastructure,South,41793,69790,UPI,TXN100228,27997,66.98968726820281
2021-08-14,Marketing,Utilities,East,95240,120962,Cash,TXN100229,25722,27.007559848803027
2023-03-09,HR,Training,South,94377,151877,Bank Transfer,TXN100230,57500,60.92586117380294
2021-10-11,HR,Training,East,13450,94037,Cash,TXN100231,80587,599.1598513011153
2023-05-29,Finance,Marketing,East,18418,166403,Card,TXN100232,147985,803.4802910196547
2023-08-18,IT,Marketing,South,44575,82860,UPI,TXN100233,38285,85.88895120583287
2022-03-29,Sales,Utilities,Central,140576,48632,UPI,TXN100234,-91944,-65.4051900751195
2023-10-17,IT,Infrastructure,North,107260,124167,Card,TXN100235,16907,15.762632854745478
2023-03-27,IT,Infrastructure,Central,124009,95268,Card,TXN100236,-28741,-23.17654363796176
2022-10-21,HR,Training,North,43186,152297,Bank Transfer,TXN100237,109111,252.6536377529755
2022-07-01,HR,Utilities,South,36451,47859,Card,TXN100238,11408,31.29680941537955
2023-12-09,Marketing,Training,West,13155,34496,UPI,TXN100239,21341,162.22729000380082
2021-01-17,Marketing,Travel,Central,39448,92392,Cash,TXN100240,52944,134.21212735753397
2021-06-07,HR,Infrastructure,East,136934,8958,Cash,TXN100241,-127976,-93.45816232637621
2022-04-22,Operations,Utilities,Central,138529,101399,Cash,TXN100242,-37130,-26.80305206851995
2023-12-06,Operations,Utilities,South,139244,131951,Cash,TXN100243,-7293,-5.237568584642785
2022-06-02,Sales,Training,West,55231,91408,Cash,TXN100244,36177,65.50125835128823
2021-04-09,HR,Marketing,West,45399,94687,Cash,TXN100245,49288,108.56626797947091
2023-11-27,Finance,Utilities,Central,82404,157389,UPI,TXN100246,74985,90.99679627202562
2021-10-07,Marketing,Training,Central,58698,21584,Card,TXN100247,-37114,-63.228730110054855
2022-05-12,HR,Salaries,Central,55379,165664,UPI,TXN100248,110285,199.1458856245147
2021-10-29,Operations,Marketing,South,107275,45917,Bank Transfer,TXN100249,-61358,-57.19692379398742
2021-06-30,HR,Marketing,North,144884,95672,Cash,TXN100250,-49212,-33.966483531652905
2022-08-30,Operations,Infrastructure,North,33978,64308,Card,TXN100251,30330,89.2636411795868
2022-12-01,HR,Travel,East,21531,97010,Card,TXN100252,75479,350.55965816729366
2023-09-20,Finance,Infrastructure,South,38783,28321,Cash,TXN100253,-10462,-26.975736791893357
2021-07-10,Sales,Salaries,West,23236,116798,Card,TXN100254,93562,402.65966603546224
2021-09-10,Finance,Training,East,127485,129534,Cash,TXN100255,2049,1.6072479115190021
2023-09-08,Operations,Marketing,West,79683,119349,Bank Transfer,TXN100256,39666,49.77975226836339
2023-07-17,Marketing,Marketing,West,103806,105313,Cash,TXN100257,1507,1.451746527175693
2021-05-08,Marketing,Utilities,Central,143831,36858,Bank Transfer,TXN100258,-106973,-74.37409181608972
2021-01-18,IT,Travel,West,23332,49838,Card,TXN100259,26506,113.60363449339962
2022-07-20,Finance,Travel,West,63902,46336,UPI,TXN100260,-17566,-27.48896748145598
2022-07-24,HR,Utilities,South,19198,72597,Card,TXN100261,53399,278.1487654964059
2022-11-17,Sales,Salaries,Central,113307,143840,UPI,TXN100262,30533,26.94714360101318
2022-09-18,HR,Travel,Central,116209,119467,Cash,TXN100263,3258,2.803569430939084
2023-05-04,HR,Marketing,East,96023,126901,Card,TXN100264,30878,32.156879081053496
2023-08-20,Finance,Salaries,Central,142853,13177,Card,TXN100265,-129676,-90.77583249914247
2021-06-04,Sales,Infrastructure,North,88948,81582,Bank Transfer,TXN100266,-7366,-8.281242973422675
2022-05-05,IT,Infrastructure,South,60141,145673,Cash,TXN100267,85532,142.2191184050814
2023-02-24,HR,Salaries,East,119660,82433,UPI,TXN100268,-37227,-31.11064683269263
2021-09-03,Sales,Marketing,North,41485,158145,Cash,TXN100269,116660,281.2100759310594
2023-11-29,IT,Infrastructure,West,64351,64261,Bank Transfer,TXN100270,-90,-0.1398579664651676
2023-01-29,HR,Training,North,36654,12581,Bank Transfer,TXN100271,-24073,-65.67632454848038
2022-06-22,Sales,Marketing,East,61529,129975,Bank Transfer,TXN100272,68446,111.24185343496562
2023-07-10,Finance,Utilities,Central,114349,47802,Cash,TXN100273,-66547,-58.1963987441954
2022-02-12,Marketing,Travel,South,26665,132457,Bank Transfer,TXN100274,105792,396.7447965497843
2022-06-09,Marketing,Salaries,East,72475,37698,Cash,TXN100275,-34777,-47.98482235253535
2023-04-08,HR,Travel,North,57802,59119,Bank Transfer,TXN100276,1317,2.2784678730839762
2023-06-22,HR,Utilities,North,87892,68393,Card,TXN100277,-19499,-22.18518181404451
2021-02-05,Sales,Infrastructure,East,46362,13080,UPI,TXN100278,-33282,-71.78723954963117
2022-11-16,Marketing,Training,East,49338,72652,Cash,TXN100279,23314,47.253638169362354
2021-01-20,HR,Marketing,East,103004,76664,UPI,TXN100280,-26340,-25.57182245349695
2021-11-17,IT,Marketing,Central,106464,128023,Cash,TXN100281,21559,20.250037571385633
2022-05-27,HR,Utilities,East,12120,70577,Cash,TXN100282,58457,482.3184818481848
2022-02-04,Marketing,Salaries,West,120289,161278,Card,TXN100283,40989,34.07543499405598
2022-10-16,Operations,Travel,South,10785,169522,Card,TXN100284,158737,1471.8312471024572
2023-08-30,Marketing,Training,South,66925,86117,Cash,TXN100285,19192,28.676877101232723
2022-04-16,IT,Infrastructure,West,76473,122490,Bank Transfer,TXN100286,46017,60.17417912204307
2023-04-14,Sales,Salaries,North,118185,130907,Cash,TXN100287,12722,10.764479417861827
2022-12-28,IT,Training,North,39969,52569,Cash,TXN100288,12600,31.52443143436163
2023-05-04,Operations,Training,North,75236,17811,Card,TXN100289,-57425,-76.3264926365038
2021-02-20,Operations,Utilities,North,111416,85641,Card,TXN100290,-25775,-23.134020248438286
2022-07-29,HR,Utilities,Central,26297,101897,UPI,TXN100291,75600,287.4852644788379
2021-05-30,HR,Marketing,West,115741,94588,UPI,TXN100292,-21153,-18.276151061421622
2021-11-10,Marketing,Infrastructure,South,40089,151032,Bank Transfer,TXN100293,110943,276.7417496071241
2022-07-24,Finance,Salaries,West,16171,134709,UPI,TXN100294,118538,733.0282604662668
2021-11-01,IT,Marketing,South,27874,99039,UPI,TXN100295,71165,255.3096075195523
2022-11-13,Marketing,Infrastructure,North,69024,26162,UPI,TXN100296,-42862,-62.097241539174775
2023-04-18,Finance,Travel,Central,31153,13530,Bank Transfer,TXN100297,-17623,-56.56919076814432
